ENSG00000290869,0.05715,0.1206,0.08091,0,0,0.022,0.036851265
ENSG00000288905,0.7702,0.7677,0.8178,0.7225,0.6718,0.6259,0.036313275
ENSG00000291150,0.7702,0.7677,0.8178,0.7225,0.6718,0.6259,0.036313275
ENSG00000186141,4.841,4.845,4.644,4.166,4.509,4.3,0.025213349
ENSG00000207340,0.3987,0,0,1.346,0.8942,0.6138,0.040334228
ENSG00000178104,2.519,2.52,2.383,1.995,2.241,2.096,0.018043721
ENSG00000184270,0.1459,0,0,0.1643,0.3273,0.2247,0.049105765
ENSG00000213190,24.88,22.15,25.57,29.41,26.75,31.56,0.048423463
ENSG00000143390,18.96,18.69,18.83,20.43,20.61,19.63,0.036456387
ENSG00000182134,2.86,2.703,3.036,2.247,2.605,2.264,0.032422091
ENSG00000163207,34.83,43.71,39.53,80.34,58.34,88.7,0.047635586
ENSG00000224308,0.03211,0,0,0.1085,0.07202,0.09889,0.005729443
ENSG00000163216,8.3,6.91,7.507,62.6,38.26,62.3,0.028155271
ENSG00000241794,18.64,27.11,21.53,84.04,60,84.46,0.015335775
ENSG00000203785,1.348,1.626,1.363,12.14,7.127,9.6,0.02951655
ENSG00000244094,0.0835,0,0.05911,0.752,0.6555,0.5785,0.001824931
ENSG00000163218,0.6349,0.6569,0.705,2.256,2.303,2.175,3.147877813915748e-05
ENSG00000163220,738.7,792.8,821.3,1807,1543,1591,0.005344334
ENSG00000143546,69.25,58.74,51,197.1,212.4,220.2,9.470579736974556e-05
ENSG00000184330,0.01528,0.01612,0,0.1032,0.05139,0.08232,0.033747562
ENSG00000143556,0.3048,0.1608,0,2.402,2.393,3.051,0.003210063
ENSG00000143553,10.25,9.904,10.25,8.956,7.806,8.708,0.032101959
ENSG00000160712,4.306,5.335,5.061,3.399,3.288,2.91,0.017118882
ENSG00000169291,0.977,1.351,1.23,0.8144,0.8043,0.595,0.034274216
ENSG00000163346,18.45,18.16,16.81,16.27,16.16,14.55,0.046538504
ENSG00000169242,35.85,37.97,34.5,63.36,57.31,54.19,0.007823759
ENSG00000160752,96.39,81.96,88.39,108,114.7,126.7,0.018341089
ENSG00000225855,23.96,22.9,21.15,29.55,31.61,35.08,0.014204235
ENSG00000283701,4.086,3.594,4.339,6.9,5.346,5.767,0.032977616
ENSG00000116584,5.389,5.273,5.257,6.551,6.285,6.476,0.001022975
ENSG00000285677,4.11,3.9,4.084,4.457,4.736,4.398,0.021629083
ENSG00000260238,10.97,11.37,10.59,10.37,9.229,9.705,0.04610884
ENSG00000143319,13.98,12.44,13.26,15.45,16.3,16.95,0.008435962
ENSG00000143321,132.2,126.4,137.1,163.4,170.1,174.3,0.001086492
ENSG00000187800,2.28,2.438,2.424,2.852,2.625,2.831,0.014976016
ENSG00000183853,13.11,12.57,13.23,14.73,15.57,14.95,0.003286021
ENSG00000158710,434.5,400.1,410.6,462.4,454.4,498.1,0.031630174
ENSG00000162723,3.432,2.825,2.85,4.919,4.053,3.998,0.028893519
ENSG00000162738,9.754,11.39,10.08,8.36,8.606,7.962,0.039133224
ENSG00000026751,6.355,5.841,5.854,3.103,3.941,4.471,0.019377242
ENSG00000143224,2.08,2.076,2.009,1.961,1.935,1.85,0.031972706
ENSG00000132196,3.922,4.583,4.065,2.878,3.26,3.518,0.024038528
ENSG00000185630,2.709,2.678,2.731,1.579,1.59,1.787,0.002816659
ENSG00000143183,18.38,17.54,17.24,16.82,16.16,16.15,0.037484644
ENSG00000143179,8.356,7.394,7.577,9.173,8.861,10.02,0.026767371
ENSG00000143162,19.16,21.13,21.32,15.85,16.35,14.11,0.006230588
ENSG00000143147,2.504,2.292,2.237,2.78,2.625,2.703,0.028899642
ENSG00000143153,39.6,37.36,42.9,49.52,52.38,46.46,0.015628061
