ENSEMBL	ENTREZID
ENSG00000187678	81848
ENSG00000113578	2246
ENSG00000186314	153768
ENSG00000156463	153769
ENSG00000113657	1809
ENSG00000178172	404203
ENSG00000247199	102546294
ENSG00000247199	124901185
ENSG00000169252	154
ENSG00000157510	134265
ENSG00000155850	1836
ENSG00000145901	10318
ENSG00000123643	206358
ENSG00000086570	2196
ENSG00000113140	6678
ENSG00000231989	153743
ENSG00000135074	8728
ENSG00000145934	57451
ENSG00000113645	23286
ENSG00000094755	2568
ENSG00000204764	64901
ENSG00000072786	6793
ENSG00000174705	285590
ENSG00000214357	54492
ENSG00000120129	1843
ENSG00000164463	153222
ENSG00000122203	57179
ENSG00000169230	27166
ENSG00000113240	57396
ENSG00000176783	80230
ENSG00000248275	100507602
ENSG00000021355	1992
ENSG00000124570	5269
ENSG00000244041	401232
ENSG00000137267	7280
ENSG00000168994	221749
ENSG00000269985	101927972
ENSG00000261189	101928076
ENSG00000111859	4739
ENSG00000078401	1906
ENSG00000124523	23408
ENSG00000137177	63971
ENSG00000187566	378884
ENSG00000124795	7913
ENSG00000111802	51567
ENSG00000079691	55604
ENSG00000010704	3077
ENSG00000235109	64288
ENSG00000204644	346171
ENSG00000234127	7726
ENSG00000204576	80742
ENSG00000204574	23
ENSG00000146112	170954
ENSG00000146112	107987457
ENSG00000196230	203068
ENSG00000272273	105379695
ENSG00000137331	8870
ENSG00000204544	394263
ENSG00000204520	100507436
ENSG00000204516	4277
ENSG00000232810	7124
ENSG00000227507	4050
ENSG00000213719	1192
ENSG00000204385	80736
ENSG00000243649	629
ENSG00000204356	7936
ENSG00000231852	1589
ENSG00000204267	6891
ENSG00000204264	5696
ENSG00000168394	6890
ENSG00000240065	5698
ENSG00000289047	100294145
ENSG00000204248	1302
ENSG00000204209	1616
ENSG00000204209	113523636
ENSG00000137288	84300
ENSG00000272288	101929243
ENSG00000096060	2289
ENSG00000146122	23500
ENSG00000024048	23304
ENSG00000112624	23506
ENSG00000170734	5429
ENSG00000172432	54676
ENSG00000112715	7422
ENSG00000181577	221416
ENSG00000146232	4794
ENSG00000124813	860
ENSG00000225791	401264
ENSG00000001084	2729
ENSG00000118482	23469
ENSG00000156535	135228
ENSG00000111799	1303
ENSG00000196586	4646
ENSG00000286042	80078
ENSG00000135315	22832
ENSG00000057657	639
ENSG00000080546	27244
ENSG00000135587	6610
ENSG00000112290	8936
ENSG00000187189	23270
ENSG00000164465	285761
ENSG00000025156	3298
ENSG00000135547	23493
ENSG00000118523	1490
ENSG00000112299	8876
ENSG00000293493	NA
ENSG00000112303	8875
ENSG00000118514	64577
ENSG00000027697	3459
ENSG00000230533	102723649
ENSG00000118503	7128
ENSG00000010818	3097
ENSG00000152818	7402
ENSG00000111961	23328
ENSG00000111962	10090
ENSG00000131015	80328
ENSG00000009765	389434
ENSG00000120254	25902
ENSG00000131016	9590
ENSG00000131018	23345
ENSG00000112029	26271
ENSG00000146426	26230
ENSG00000291237	6648
ENSG00000177706	56975
ENSG00000005108	221981
ENSG00000179428	541472
ENSG00000136244	3569
ENSG00000136235	10457
ENSG00000106049	11112
ENSG00000286847	105375216
ENSG00000105778	23080
ENSG00000011426	54443
ENSG00000187037	353345
ENSG00000241127	57002
ENSG00000065883	8621
ENSG00000122641	3624
ENSG00000224116	285954
ENSG00000106571	2737
ENSG00000106591	64983
ENSG00000231638	100506895
ENSG00000214783	84820
ENSG00000106636	10652
ENSG00000136271	54606
ENSG00000232956	285958
ENSG00000277184	677798
ENSG00000164742	107
ENSG00000106070	2887
ENSG00000106078	23242
ENSG00000178665	349075
ENSG00000196715	154807
ENSG00000241258	27297
ENSG00000106635	9275
ENSG00000127946	3092
ENSG00000188372	7784
ENSG00000205482	100505767
ENSG00000186472	27445
ENSG00000170381	9723
ENSG00000075213	10371
ENSG00000075142	6717
ENSG00000157240	8321
ENSG00000127989	7978
ENSG00000287672	112267986
ENSG00000177409	219285
ENSG00000105825	7980
ENSG00000242265	23089
ENSG00000004799	5166
ENSG00000198742	57154
ENSG00000106261	7586
ENSG00000078487	55063
ENSG00000169871	81844
ENSG00000106366	5054
ENSG00000005483	55904
ENSG00000146776	222255
ENSG00000091129	4897
ENSG00000196937	10447
ENSG00000106278	5803
ENSG00000224897	401398
ENSG00000224897	101928283
ENSG00000106328	29999
ENSG00000128596	64753
ENSG00000158467	23382
ENSG00000128510	51200
